disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
flu,fever,cough,body ache,runny nose
cold,sneezing,runny nose,sore throat,cough
covid-19,fever,cough,loss of smell,breathing difficulty
malaria,fever,chills,sweating,headache,cough
diabetes,frequent urination,increased thirst,fatigue,blurred vision,cough
hypertension,headache,dizziness,nosebleeds,shortness of breath,cough
asthma,cough,wheezing,chest tightness,shortness of breath
roseola,runny nose,rash,red eyes,loss of appetite,rashes,feverish,,,,,,
roseola,high fever,runny nose,irritability,headache,cough,rashes,chills,,,,,
norovirus infection,stomach cramps,nausea,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,rashes,general discomfort,fever,
roseola,high fever,runny nose,irritability,fatigue,red eyes,diarrhea,vomiting,feverish,,,,
norovirus infection,diarrhea,low-grade fever,nausea,headache,fatigue,loss of appetite,dehydration,chills,sweating,general discomfort,irritability,
roseola,runny nose,rash,irritability,swollen lymph nodes,cough,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,rashes,feverish
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,stomach cramps,headache,fatigue,dehydration,loss of appetite,rashes,chills
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,headache,fatigue,dehydration,muscle aches,body aches,rashes,joint pain,
norovirus infection,diarrhea,vomiting,nausea,headache,fatigue,abdominal pain,loss of appetite,sweating,body aches,fever,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,fatigue,dehydration,loss of appetite,muscle aches,rashes,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,loss of appetite,feverish,rashes,general discomfort,chills,joint pain,,,
roseola,high fever,rash,sore throat,cough,loss of appetite,abdominal pain,body aches,chills,feverish,,,
roseola,high fever,fatigue,sore throat,red eyes,loss of appetite,body aches,feverish,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,abdominal pain,dehydration,rashes,general discomfort,irritability,,,,
norovirus infection,vomiting,low-grade fever,headache,fatigue,sweating,body aches,general discomfort,fever,,,,
roseola,high fever,irritability,fatigue,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,feverish,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,dehydration,rashes,fever,,
mumps,headache,"swollen, painful salivary glands",pain while chewing or swallowing,fever,muscle aches,loss of appetite,testicle pain and tenderness,headache,tiredness,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,headache,dehydration,loss of appetite,chills,joint pain,,
roseola,rash,irritability,fatigue,swollen lymph nodes,headache,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,feverish
roseola,runny nose,rash,fatigue,sore throat,headache,cough,vomiting,body aches,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,stomach cramps,headache,dehydration,body aches,rashes,general discomfort,joint pain,,,
roseola,high fever,swollen lymph nodes,headache,red eyes,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills,,
shigellosis (bacillary dysentery),bloody stools,stomach cramps,headache,fatigue,muscle aches,body aches,feverish,general discomfort,,,,
roseola,irritability,swollen lymph nodes,sore throat,headache,cough,diarrhea,chills,feverish,,,,
norovirus infection,diarrhea,stomach cramps,muscle aches,nausea,fatigue,loss of appetite,dehydration,rashes,general discomfort,,,
shigellosis (bacillary dysentery),fever,stomach cramps,fatigue,dehydration,general discomfort,joint pain,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,headache,fatigue,dehydration,muscle aches,feverish,rashes,general discomfort,chills,joint pain
roseola,rash,irritability,cough,vomiting,loss of appetite,abdominal pain,body aches,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,abdominal pain,loss of appetite,dehydration,general discomfort,irritability,,,
roseola,rash,irritability,swollen lymph nodes,cough,red eyes,vomiting,loss of appetite,body aches,rashes,chills,feverish,
roseola,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,loss of appetite,abdominal pain,body aches,rashes,feverish,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,loss of appetite,dehydration,sweating,rashes,,,
roseola,rash,irritability,cough,diarrhea,loss of appetite,abdominal pain,feverish,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,dehydration,loss of appetite,muscle aches,rashes,chills,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,stomach cramps,headache,fatigue,dehydration,muscle aches,body aches,feverish,rashes,general discomfort,chills
norovirus infection,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,dehydration,chills,rashes,general discomfort,,,
roseola,high fever,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,cough,loss of appetite,abdominal pain,body aches,rashes,feverish
roseola,high fever,rash,irritability,swollen lymph nodes,headache,cough,red eyes,body aches,rashes,,,
roseola,high fever,rash,swollen lymph nodes,headache,cough,red eyes,abdominal pain,feverish,,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,headache,diarrhea,vomiting,loss of appetite,abdominal pain,feverish,
shigellosis (bacillary dysentery),fever,headache,fatigue,muscle aches,body aches,feverish,rashes,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,loss of appetite,sweating,rashes,general discomfort,fever,,
roseola,runny nose,rash,irritability,swollen lymph nodes,cough,vomiting,loss of appetite,chills,,,,
norovirus infection,headache,loss of appetite,dehydration,body aches,general discomfort,fever,irritability,,,,,
roseola,high fever,rash,irritability,sore throat,headache,red eyes,diarrhea,vomiting,abdominal pain,chills,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,,,,,
norovirus infection,stomach cramps,nausea,fatigue,dehydration,chills,sweating,body aches,rashes,irritability,,,
norovirus infection,vomiting,low-grade fever,fatigue,abdominal pain,chills,sweating,general discomfort,,,,,
norovirus infection,diarrhea,abdominal pain,chills,sweating,rashes,general discomfort,irritability,,,,,
roseola,rash,irritability,fatigue,swollen lymph nodes,red eyes,diarrhea,vomiting,chills,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,fatigue,loss of appetite,body aches,general discomfort,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,body aches,feverish,rashes,general discomfort,joint pain
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,stomach cramps,headache,fatigue,dehydration,loss of appetite,body aches,feverish,general discomfort,chills
roseola,runny nose,rash,irritability,sore throat,cough,loss of appetite,abdominal pain,body aches,chills,,,
norovirus infection,diarrhea,vomiting,headache,abdominal pain,sweating,body aches,general discomfort,fever,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,general discomfort,joint pain,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,chills,sweating,body aches,rashes,general discomfort,fever
shigellosis (bacillary dysentery),nausea,bloody stools,stomach cramps,fatigue,loss of appetite,feverish,chills,joint pain,,,,
mumps,"swollen, painful salivary glands",muscle aches,tiredness,loss of appetite,headache,muscle aches,tiredness,,,,,
norovirus infection,stomach cramps,nausea,fatigue,abdominal pain,loss of appetite,dehydration,chills,body aches,rashes,fever,irritability,
roseola,runny nose,rash,irritability,fatigue,headache,cough,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,feverish
roseola,rash,irritability,swollen lymph nodes,sore throat,headache,cough,red eyes,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,joint pain
norovirus infection,stomach cramps,muscle aches,abdominal pain,loss of appetite,chills,body aches,rashes,general discomfort,fever,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,fatigue,abdominal pain,loss of appetite,chills,rashes,fever,irritability
norovirus infection,vomiting,low-grade fever,headache,fatigue,loss of appetite,chills,body aches,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),nausea,bloody stools,loss of appetite,body aches,feverish,chills,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,headache,fatigue,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain
roseola,irritability,fatigue,sore throat,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,,,,
norovirus infection,low-grade fever,abdominal pain,loss of appetite,dehydration,chills,rashes,fever,irritability,,,,
norovirus infection,diarrhea,stomach cramps,muscle aches,nausea,headache,dehydration,sweating,rashes,general discomfort,irritability,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,fatigue,loss of appetite,muscle aches,general discomfort,chills,,,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,headache,fatigue,loss of appetite,body aches,rashes,general discomfort,chills,joint pain,
roseola,high fever,rash,swollen lymph nodes,sore throat,headache,loss of appetite,abdominal pain,rashes,chills,feverish,,
roseola,rash,irritability,fatigue,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,loss of appetite,body aches,chills,feverish
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,abdominal pain,loss of appetite,chills,body aches,general discomfort,irritability,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,loss of appetite,dehydration,chills,sweating,body aches,irritability,
roseola,high fever,irritability,fatigue,sore throat,headache,red eyes,vomiting,loss of appetite,abdominal pain,chills,feverish,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,stomach cramps,headache,fatigue,dehydration,muscle aches,body aches,rashes,,,
strep throat,sore throat,fever,swollen lymph nodes,rash,body aches,loss of appetite,,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,irritability,sore throat,mouth sores,red spots,blisters,cough,headache,mild fever,difficulty swallowing,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,stomach cramps,headache,dehydration,loss of appetite,muscle aches,feverish,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,headache,fatigue,dehydration,muscle aches,feverish,rashes,general discomfort,,,,
mumps,"swollen, painful salivary glands",fever,tiredness,loss of appetite,trouble chewing,testicle pain and tenderness,muscle aches,loss of appetite,,,,
shigellosis (bacillary dysentery),fever,nausea,stomach cramps,loss of appetite,muscle aches,body aches,rashes,general discomfort,joint pain,,,
roseola,runny nose,irritability,swollen lymph nodes,headache,vomiting,loss of appetite,abdominal pain,body aches,rashes,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,loss of appetite,rashes,chills,feverish
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,fatigue,dehydration,body aches,general discomfort,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,stomach cramps,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,chills,,
norovirus infection,nausea,headache,abdominal pain,loss of appetite,chills,sweating,fever,irritability,,,,
shigellosis (bacillary dysentery),vomiting,bloody stools,headache,fatigue,loss of appetite,muscle aches,feverish,general discomfort,chills,,,
roseola,rash,fatigue,swollen lymph nodes,sore throat,headache,red eyes,loss of appetite,abdominal pain,rashes,chills,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,loss of appetite,dehydration,chills,sweating,fever,,,
norovirus infection,vomiting,stomach cramps,headache,fatigue,chills,sweating,body aches,rashes,general discomfort,fever,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,irritability,mouth sores,red spots,sore muscles,general discomfort,mild fever,difficulty swallowing,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,bloody stools,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,fatigue,dehydration,muscle aches,body aches,feverish,rashes,joint pain,
roseola,runny nose,irritability,swollen lymph nodes,sore throat,cough,red eyes,vomiting,loss of appetite,body aches,rashes,chills,
norovirus infection,vomiting,nausea,headache,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,rashes,general discomfort,fever,irritability
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,stomach cramps,headache,dehydration,muscle aches,body aches,general discomfort,joint pain,,,
norovirus infection,low-grade fever,headache,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,rashes,general discomfort,
"hand, foot, and mouth disease",irritability,sore throat,red spots,blisters,cough,sore muscles,headache,,,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,vomiting,rashes,chills,feverish
"hand, foot, and mouth disease",sores in mouth,irritability,sore throat,blisters,fatigue,cough,sore muscles,mild fever,difficulty swallowing,,,
"hand, foot, and mouth disease",irritability,sore throat,fatigue,sore muscles,mild fever,,,,,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,nausea,headache,fatigue,rashes,general discomfort,fever,,
pertussis (whooping cough),sneezing,fever,"cyanosis (blue lips, tongue, nailbeds)",exhaustion,sneezing,low-grade fever,runny nose,severe coughing fits,vomiting after coughing,fatigue,,
norovirus infection,diarrhea,stomach cramps,muscle aches,fatigue,abdominal pain,loss of appetite,dehydration,chills,general discomfort,fever,irritability,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,abdominal pain,dehydration,chills,body aches,irritability,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,headache,muscle aches,body aches,rashes,general discomfort,chills,joint pain,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,stomach cramps,muscle aches,body aches,rashes,,,,
roseola,high fever,runny nose,swollen lymph nodes,headache,red eyes,vomiting,loss of appetite,abdominal pain,,,,
norovirus infection,diarrhea,loss of appetite,chills,body aches,rashes,general discomfort,irritability,,,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,fatigue,abdominal pain,dehydration,chills,sweating,body aches,rashes,fever,irritability
scarlet fever,swollen glands,fever,sore throat,strawberry tongue,fever (100.4�f / 38.0�c or higher),sore and red throat with patches,difficulty swallowing,nausea or vomiting,headache and body aches,,,
